	model	quantization	file	version	input_tokens	max_length	time	output_tokens	lloc	primary_errors_rank	secondary_errors_index	commented_lines	cyclomatic_complexity_index	halstead_volume	maintainability_index	syntax_error	loop	partial_code	primary_error_text
0	CodeQwen1.5-7B-Chat	Q16	file_1	v1	486.0	1944.0	45.69	1112.0	23.0	Good	0.17	30.3	4.3	28.5	88.6		False	False	
1	CodeQwen1.5-7B-Chat	Q16	file_2	v1	714.0	2856.0	24.66	1613.0	32.0	Good	0.06	4.0	6.2	110.4	64.6		False	False	
2	CodeQwen1.5-7B-Chat	Q16	file_3	v1	851.0	3404.0	20.55	1603.0	22.0	Good	0.05	9.3	4.5	174.9	72.9		False	False	
3	CodeQwen1.5-7B-Chat	Q16	file_4	v1	3127.0	12508.0	70.59	5590.0	93.0	Good	0.01	3.0	1.1	805.4	47.0		False	False	"Undefined variable 'macroquadraturagruppo'
Undefined variable 'parametri'
Undefined variable 'tracciato'
Undefined variable 'macroarrotondainterogruppo'
"
4	CodeQwen1.5-7B-Chat	Q16	file_5	v1	3663.0	14652.0	330.78	14647.0									True	False	
5	CodeQwen1.5-7B-Chat	Q16	file_6	v1	4533.0	18132.0	441.07	18126.0									True	False	
6	CodeQwen1.5-7B-Chat	Q16	file_7	v1	7594.0	30376.0	138.88	12227.0								"  File ""<unknown>"", line 181
    %quadraturagruppo(ristima, ""stima_n"", quadra, ""consumi_istat_ultimo"", ""stima_nq"", ""territorio"", ""quan1"")
    ^
SyntaxError: invalid syntax
"	False	False	
7	CodeQwen1.5-7B-Chat	Q16	file_1	v2	578.0	2312.0	12.25	1002.0	13.0	Good	0.31	31.6	7.7	15.5	96.1		False	False	
8	CodeQwen1.5-7B-Chat	Q16	file_2	v2	806.0	3224.0	19.58	1513.0	28.0	Good	0.09	0.0	7.1	114.7	53.7		False	False	
9	CodeQwen1.5-7B-Chat	Q16	file_3	v2	943.0	3772.0	27.29	1924.0	30.0	Good	0.02	8.2	13.3	98.1	70.2		False	False	
10	CodeQwen1.5-7B-Chat	Q16	file_4	v2	3219.0	12876.0	70.82	5685.0	66.0	Good	0.03	25.0	1.5	492.1	68.5		False	False	"Undefined variable 'parametri'
Undefined variable 'quadrature'
Undefined variable 'sm'
Undefined variable 'base_out3'
"
